description,brand,category
TURKEY MONTEREY SANDWICH WITH APPLE AND CARROT,Walgreens Co.,Prepared Subs & Sandwiches
MINI ICE CREAM SANDWICHES,"Krasdale Foods, Inc.",Ice Cream & Frozen Yogurt
"ENRICHED WHITE SANDWICH BREAD, WHITE SANDWICH","Supervalu, Inc.",Breads & Buns
ORANGE DRINK SYRUP,Hawaii Associated Wholesale,Syrups & Molasses
"EGOO, NATURAL ENERGY BLISS ENERGY DRINK",EGOO,Soda
CAPRESE CIABATTA SANDWICH,Fresh Food Manufacturing,Prepared Subs & Sandwiches
ICED ANIMAL COOKIES,D. F. Stauffer Biscuit Co. Inc,Cookies & Biscuits
BIG CHEWY CANDY,Ferrara Candy Company,Candy
"CHARRAS, TORTILLA CHIPS",GS1 Mexico,"Chips, Pretzels & Snacks"
FRUIT MEDLEY FRUIT SNACKS,Paskesz Candy Company,Wholesome Snacks
"MARGHERITE COOKIES, MARGHERITE",Stella D'Oro Biscuit Co Inc,Cookies & Biscuits
"CHOCOLATE WITH CHOCOLATE BUTTERCREAM CUPCAKES, CHOCOLATE",P & A,"Cakes, Cupcakes, Snack Cakes"
SODA,"Fred's, Inc.",Soda
CHOCOLATE CHIP SANDWICHES,Divvies LLC,Cookies & Biscuits
BANANA CHIPS,Bare Foods Co.,Wholesome Snacks
Totino's Combination Pizza Rolls 140 Count. Pizza in a Golden Crust,GENERAL MILLS SALES INC.,Savoury Bakery Products
"VANILLA ICE CREAM CUPS, VANILLA","Prairie Farms Dairy, Inc.",Ice Cream & Frozen Yogurt
HOMESTYLE BEEF PATTIES,The Good Kitchen,Frozen Patties and Burgers
MINIATURES CANDY,The Hershey Company,Chocolate
"BREAD & BUTTER PICKLE CHIPS, BREAD & BUTTER","Giant Eagle, Inc.","Pickles, Olives, Peppers & Relishes"
"PIZZA, MEATBALLS AND PEPPERONI",Palermo Villa Inc.,Pizza
"Chocolate, dark, 45- 59% cacao solids",Unknown,Sweets
"BREAKFAST SANDWICH, BREADED CHICKEN & BUTTERMILK WAFFLE","Giant Eagle, Inc.","Frozen Breakfast Sandwiches, Biscuits & Meals"
PLAIN BREAD CRUMBS,Quality Frozen Foods Inc.,Bread & Muffin Mixes
COOKIES,"Too Good Gourmet, Inc.",Cookies & Biscuits
FRIED CHILI IN OIL,"Dse Healthcare Solutions, LLC","Oriental, Mexican & Ethnic Sauces"
PORTUGUESE BREAD,"Something, Inc.",Breads & Buns
"Baby Toddler sweet potatoes, Stage 1",Unknown,Baby food: vegetables
"CHOCOLATE STRAWBERRY CREME CHOCOLATE SANDWICH COOKIES, CHOCOLATE STRAWBERRY CREME CHOCOLATE",Nabisco Biscuit Company,Cookies & Biscuits
VEGGIE CHIPS,Keystone Food Products Inc.,"Chips, Pretzels & Snacks"
"ICE CREAM, VANILLA","Wal-Mart Stores, Inc.",Ice Cream & Frozen Yogurt
"BHUJA SNACKS, ANCIENT GRAIN TWISTS","Hsac Enterprises, Inc","Chips, Pretzels & Snacks"
"CHOCOLATE DARK CHOCOLATE ALMOND CHOCOLATE FUDGE SWIRLS IN CHOCOLATE ICE CREAM DIPPED IN DARK CHOCOLATE AND ALMONDS ICE CREAM BARS, CHOCOLATE DARK CHOCOLATE ALMOND","The Haagen-Dazs Company, Inc.",Ice Cream & Frozen Yogurt
"CHOCOLATE FLAVORED CAKE WITH CHOCOLATE ICING, CHOCOLATE WITH CHOCOLATE ICING","Wal-Mart Stores, Inc.","Cakes, Cupcakes, Snack Cakes"
COOKIES,Spaans Cookie Company Inc.,Cookies & Biscuits
BEEF PATTIES,The Moran Group Incorporated,Frozen Patties and Burgers
CLASSIC CRUST PEPPERONI PIZZA,Bi-Lo Inc.,Pizza
"SODA, ORANGE CREAM",The Kroger Co.,Soda
COOKIE THINS,Ambassador Cards,Cookies & Biscuits
WHOLE WHEAT BREAD,"Flowers Foods, Inc.",Breads & Buns
"Pasta, whole grain, with cream sauce, meat, and added vegetables, home recipe",Unknown,"Pasta mixed dishes, excludes macaroni and cheese"
"Coffee, Latte, decaffeinated, flavored",Unknown,Coffee
"CHOCOLATE ICE CREAM, CHOCOLATE",Rafael Padilla & Cia S. En C.,Ice Cream & Frozen Yogurt
Baby Toddler pudding,Unknown,Baby food: snacks and sweets
"Prickly pears, raw (Northern Plains Indians)",Unknown,American Indian/Alaska Native Foods
PIZZA DOUGH,EXBC LLC,Frozen Bread & Dough
"Candies, NESTLE, AFTER EIGHT Mints",Unknown,Sweets
"XL SAUSAGE PLANT POWERED MEATLESS PATTIES, XL SAUSAGE","Heritage Health Food, Inc.",Frozen Patties and Burgers
PREMIUM WHITE BREAD,Pan-O-Gold Baking Co.,Breads & Buns
GINGERBREAD FLAVORED SANDWICH COOKIES,Nabisco Biscuit Company,Crackers & Biscotti
"LEMON GINGER ENERGY MULTIPLIER SUPERCHARGED ENERGY DRINK MIX, LEMON GINGER",The LIV Group Inc. ,Soda
SNACKS SEEDS & SEA SALT,Vaasamills Ltd.,Other Snacks
LICORICE CANDY,"Leaf, Inc.",Candy
"CHOCOLATE MINT COOKIES & CREAM ICE CREAM, CHOCOLATE; MINT; CREAM","MomoMilk, LLC dba Milk Bar",Ice Cream & Frozen Yogurt
"CHOCOLATE CROISSANTS, CHOCOLATE",Target Stores,"Croissants, Sweet Rolls, Muffins & Other Pastries"
BREAD CRUMBS,America's Bakery,Bread & Muffin Mixes
"GOURMET TRUFFLES, MILK CHOCOLATE, EXTRA DARK CHOCOLATE, WHITE CHOCOLATE, HAZELNUT MILK CHOCOLATE, DARK CHOCOLATE, CARAMEL DARK CHOCOLATE",Lindt & Sprungli (Schweiz) AG,Chocolate
"JOKER, ZERO CALORIE ENERGY DRINK",JOKER,Soda
PAN TROPICAL BREAD,E. Wright and C. Wallace Disitilleries,Breads & Buns
PIZZA ROLLS,"General Mills, Inc.",Pizza
STRAIGHT CUT FRENCH FRIED POTATOES,"Hy-Vee, Inc.","French Fries, Potatoes & Onion Rings"
GUMMY CANDY FISH,"Maud Borup, Inc.",Candy
"PERU FOOD, CHIA SEED",Peru Food Imports Inc.,Other Grains & Seeds
COOKIES,Kelsen Group A/S,Cookies & Biscuits
ASSORTED COOKIES TRAY,"Wegmans Food Markets, Inc. ",Cookies & Biscuits
"AdvancePierre Fully Cooked Gluten Free Flame Grilled Beef Burger, 2 oz.",Tyson Foods Inc.,Meat/Poultry/Other Animals - Prepared/Processed
"CHOCOLATE SANDWICH CREME COOKIES, CHOCOLATE","Tops Markets, LLC",Cookies & Biscuits
"BACON & CHEDDAR BEEF PATTIES, BACON & CHEDDAR",Flanders Provision Company LLC,Frozen Patties and Burgers
CITRUS SODA,"Dr. Pepper/Seven Up, Inc.",Soda
"Fast foods, hamburger; single, regular patty; double decker bun with condiments and special sauce",Unknown,Fast Foods
SOFT WHITE SANDWICH LOAF,GS1 Ireland,Breads & Buns
"BLACK CHERRY ENERGY CHEWS, BLACK CHERRY",Clif Bar and Company,"Snack, Energy & Granola Bars"
"Archway Home Style Cookies, Chocolate Chip Ice Box",Unknown,Baked Products
"NEMESIS TEA FLAVOR ENERGY DRINK, NEMESIS TEA",B & S Enterprises,Soda
ORGANIC KOSHER SANDWICH PICKLES,Ambassador Cards,"Pickles, Olives, Peppers & Relishes"
"CHEESE PIZZA, CHEESE",Turtle Island Coffee Company,Pizza
"""""BEEF 'N BURGER"""" SEASONING MIX, """"BEEF 'N BURGER""""",Lillie's Of Charleston,"Seasoning Mixes, Salts, Marinades & Tenderizers"
"CHOCOLATE AVALANCHE RICH CHOCOLATE ICE CREAM WITH A CHOCOLATE COOKIE CRUMBLE SWIRL AND CHOCOLATE FUDGE CHUNKS, CHOCOLATE AVALANCHE",Foster Dairy Farms,Ice Cream & Frozen Yogurt
"CHOCOLATE SANDWICH THINS WITH VANILLA CREME, CHOCOLATE","Supervalu, Inc.",Cookies & Biscuits
