PC1,PC2,PC3,Cluster_k2,Cluster_k6,Cluster_k5
-2.322477130735884,0.2444823159850717,-0.2005118956245773,0,2,1
-2.1467329443661622,0.5075792076639892,-0.1450504012803404,0,2,1
-2.2591867981867386,0.3465142536921653,-0.1744742572875479,0,2,1
-2.09907677598448,0.5821597241145874,-0.1273157335148022,0,2,1
-2.0902672904253805,0.5965746098255954,-0.1235142544786798,0,2,1
-2.106506622785239,0.5852972129320735,-0.117786971820426,0,2,1
-2.5654812574751342,-0.1234032435585428,-0.2806108000808991,0,2,1
-2.1937312217369165,0.4500498463488412,-0.149200270472946,0,2,1
-2.1467329443661622,0.5075792076639892,-0.1450504012803404,0,2,1
-2.2247871841635,0.3869973378540998,-0.1727895091240652,0,2,1
-2.198783458285712,0.4465413219615875,-0.1474184430060872,0,2,1
-2.17899924295011,0.4768747467796992,-0.1405791258714229,0,2,1
-2.568655880771043,-0.1290489066182215,-0.2587363821913622,0,2,1
-2.05364970961126,0.6717865280839943,-0.0949781036396796,0,2,1
-2.0338016365701845,0.6855700124069823,-0.1019781105372402,0,2,1
-2.152146055124636,0.5038200752280985,-0.1431413061203034,0,2,1
-2.162972276542202,0.4963018098688728,-0.1393231124789769,0,2,1
-2.150341684875266,0.5050731193903403,-0.1437776712891052,0,2,1
-2.0690395787561746,0.6279104693157269,-0.1171840249972461,0,2,1
-2.1467329443661622,0.5075792076639892,-0.1450504012803404,0,2,1
-2.1467329443661622,0.5075792076639892,-0.1450504012803404,0,2,1
-2.150341684875266,0.5050731193903403,-0.1437776712891052,0,2,1
-2.155754795612544,0.5013139868504901,-0.1418685754207291,0,2,1
-2.0482365988124553,0.6755456603220692,-0.0968871974518771,0,2,1
-2.152146055124636,0.5038200752280985,-0.1431413061203034,0,2,1
-2.150341684875266,0.5050731193903403,-0.1437776712891052,0,2,1
-2.1345270839879755,0.5326498465595543,-0.1355383474310176,0,2,1
-2.1683853871955616,0.4925426769174162,-0.137414013806077,0,2,1
-2.1467329443661622,0.5075792076639892,-0.1450504012803404,0,2,1
-2.301150772204647,0.2800927596090938,0.9194724225112728,0,2,1
-2.152146055124636,0.5038200752280985,-0.1431413061203034,0,2,1
-2.1365438198909077,0.53954646712943,-0.1279186762395712,0,2,1
-2.081670170678314,0.6191391610459829,-0.1127294747158691,0,2,1
-2.1365438198909077,0.53954646712943,-0.1279186762395712,0,2,1
-2.1803788821058423,0.4593223742003459,-0.1539093798826001,0,2,1
-2.56941897195885,-0.1344347697642248,-0.2861314207987523,0,2,1
-2.12094158465718,0.5752728590307618,-0.1126960463588391,0,2,1
-2.1277343343486095,0.553961352922839,-0.1241171977648959,0,2,1
-2.1024731507201206,0.5715039705207369,-0.1330263055392383,0,2,1
-2.574471209218139,-0.1379432906666414,-0.284349617076202,0,2,1
-2.1539504253704274,0.5025670310483066,-0.142504940831922,0,2,1
-2.1449285741066055,0.5088322517762652,-0.1456867661086946,0,2,1
-2.1467329443661622,0.5075792076639892,-0.1450504012803404,0,2,1
-2.1683853871955616,0.4925426769174162,-0.137414013806077,0,2,1
-2.1539504253704274,0.5025670310483066,-0.142504940831922,0,2,1
-2.1365438198909077,0.53954646712943,-0.1279186762395712,0,2,1
-2.420432169053211,0.0768917954024317,-0.2488661372818603,0,2,1
-2.2574143561827698,0.3560422651231026,-0.1681909401434155,0,2,1
-2.1683853871955616,0.4925426769174162,-0.137414013806077,0,2,1
-2.096105132701338,0.6091148078857044,-0.1076385543033909,0,2,1
-2.1467329443661622,0.5075792076639892,-0.1450504012803404,0,2,1
-2.1467329443661622,0.5075792076639892,-0.1450504012803404,0,2,1
-2.360060754645672,0.1851938174429466,-0.2148905487201153,0,2,1
-2.1473700412169805,0.532028201321446,-0.1241004795405812,0,2,1
-2.1665810169821933,0.4937957212562393,-0.1380503801780332,0,2,1
-2.106506622785239,0.5852972129320735,-0.117786971820426,0,2,1
-2.1501293191659205,0.4969234543846206,-0.1507609754475332,0,2,1
-2.1449285741066055,0.5088322517762652,-0.1456867661086946,0,2,1
-2.133147445039366,0.5502022201548099,-0.1222081003417989,0,2,1
-2.030192895986403,0.6880761003143506,-0.1032508380327827,0,2,1
-2.2313668308395003,0.3868253681901325,1.2268312411293514,0,2,1
-2.2313668308395003,0.3868253681901325,1.2268312411293514,0,2,1
0.2924911933404165,-0.2062427093499323,-0.3272834331004718,0,3,4
-2.574471209218139,-0.1379432906666414,-0.284349617076202,0,2,1
-2.148749680287662,0.5144758283249323,-0.1374307307093912,0,2,1
-2.069251944599629,0.6360601349792249,-0.1102007253206607,0,2,1
-1.7626064186371746,-0.094247972265937,-0.3487588656295365,0,2,1
-2.574471209218139,-0.1379432906666414,-0.284349617076202,0,2,1
-2.069251944599629,0.6360601349792249,-0.1102007253206607,0,2,1
-2.162972276542202,0.4963018098688728,-0.1393231124789769,0,2,1
-2.5697891535765827,-0.1455644350591206,-0.2788666895906114,0,2,1
-1.6328753713243285,1.023257118697763,0.1041506861031004,0,2,1
0.1441736971794698,-0.0407007100780237,-0.3358695593849571,0,3,4
1.2925867539033364,-0.1193602083899427,-0.3241147990878461,0,4,3
-2.1936880576493203,-0.0112115859220783,-0.3493588931539353,0,2,1
-1.796098384370814,-0.103610269759218,-0.3451801671060865,0,2,1
1.3223154176748464,-0.1242776204305147,-0.3250102583407303,0,4,3
1.4577030988032236,-0.2198976971637657,-0.3363506152775706,0,4,3
-2.3272641344829035,0.1784604178466138,-0.1628107402411701,0,2,1
1.2934889391047688,-0.1187336866852532,-0.3244329791073906,0,4,3
-2.574471209218139,-0.1379432906666414,-0.284349617076202,0,2,1
1.037694329671473,0.1053142717354639,-0.2903724892933069,0,4,3
