PC1,PC2,PC3
-2.322477130735884,0.24448231598507172,-0.20051189562457739
-2.1467329443661622,0.5075792076639892,-0.14505040128034044
-2.2591867981867386,0.3465142536921653,-0.17447425728754795
-2.09907677598448,0.5821597241145874,-0.12731573351480222
-2.0902672904253805,0.5965746098255954,-0.12351425447867986
-2.106506622785239,0.5852972129320735,-0.11778697182042601
-2.5654812574751342,-0.12340324355854283,-0.28061080008089917
-2.1937312217369165,0.4500498463488412,-0.149200270472946
-2.1467329443661622,0.5075792076639892,-0.14505040128034044
-2.2247871841635,0.38699733785409984,-0.1727895091240652
-2.1987834582857118,0.4465413219615875,-0.1474184430060872
-2.17899924295011,0.4768747467796992,-0.1405791258714229
-2.568655880771043,-0.12904890661822158,-0.2587363821913622
-2.05364970961126,0.6717865280839943,-0.09497810363967962
-2.0338016365701845,0.6855700124069823,-0.10197811053724021
-2.152146055124636,0.5038200752280985,-0.1431413061203034
-2.162972276542202,0.49630180986887285,-0.13932311247897697
-2.150341684875266,0.5050731193903403,-0.1437776712891052
-2.0690395787561746,0.6279104693157269,-0.11718402499724617
-2.1467329443661622,0.5075792076639892,-0.14505040128034044
-2.1467329443661622,0.5075792076639892,-0.14505040128034044
-2.150341684875266,0.5050731193903403,-0.1437776712891052
-2.1557547956125442,0.5013139868504901,-0.14186857542072911
-2.0482365988124553,0.6755456603220692,-0.09688719745187716
-2.152146055124636,0.5038200752280985,-0.1431413061203034
-2.150341684875266,0.5050731193903403,-0.1437776712891052
-2.1345270839879755,0.5326498465595543,-0.13553834743101767
-2.1683853871955616,0.4925426769174162,-0.137414013806077
-2.1467329443661622,0.5075792076639892,-0.14505040128034044
-2.301150772204647,0.2800927596090938,0.9194724225112728
-2.152146055124636,0.5038200752280985,-0.1431413061203034
-2.1365438198909077,0.53954646712943,-0.12791867623957126
-2.081670170678314,0.6191391610459829,-0.1127294747158691
-2.1365438198909077,0.53954646712943,-0.12791867623957126
-2.1803788821058423,0.4593223742003459,-0.15390937988260012
-2.56941897195885,-0.1344347697642248,-0.28613142079875237
-2.12094158465718,0.5752728590307618,-0.11269604635883912
-2.1277343343486095,0.553961352922839,-0.12411719776489594
-2.1024731507201206,0.5715039705207369,-0.1330263055392383
-2.574471209218139,-0.13794329066664146,-0.284349617076202
-2.1539504253704274,0.5025670310483066,-0.14250494083192203
-2.1449285741066055,0.5088322517762652,-0.14568676610869463
-2.1467329443661622,0.5075792076639892,-0.14505040128034044
-2.1683853871955616,0.4925426769174162,-0.137414013806077
-2.1539504253704274,0.5025670310483066,-0.14250494083192203
