description,category,brand,calories,protein,fat,carbs,calories_per_protein,calories_per_fat,calories_per_carb,label
SPINACH & FETA PIZZA,Pizza,Pinnacle Foods Group LLC,-0.3302256408412384,-0.2144887136700612,-0.1499606103092425,-0.2800125081816231,-0.2836968136749903,-0.3322192713524232,-0.1471309561040105,1
SPINACH & FETA PIZZA,Pizza,Pinnacle Foods Group LLC,-0.3266859330726495,-0.1979616083750737,-0.1399876952959723,-0.274998327776147,-0.2836969092320678,-0.3322192930882724,-0.1471309583932385,1
SPINACH & MUSHROOM PIZZA,Pizza,"Bravo Restaurants, Inc.",-0.2558917777008708,0.2730608925320695,-0.0865613648677387,-0.3401826730473372,-0.283698407335446,-0.3322192549331016,-0.1471307870937259,1
"SPINACH PIZZA, SPINACH",Pizza,Amy's Kitchen Inc.,-0.2735903165438155,0.1935241982999422,-0.1941263767965824,-0.2549416061542423,-0.2836982760776805,-0.3322189314408516,-0.1471309267828453,1
SRIRACHA VEGGIE PIZZA,Pizza,"CAULIPOWER, LLC",-0.3479241796841831,-0.1452814602473011,-0.2439909518629337,-0.2599557865597184,-0.2836973225273502,-0.3322189754153321,-0.1471309983829583,1
SUPERBLASTIN' BITES PIZZA,Pizza,Kidfresh,-0.2027961611720369,0.2978515504745507,-0.2012498875203469,-0.0944878331790049,-0.2836983231066293,-0.3322186690916984,-0.1471310256865843,1
SUPREME ORIGINAL PIZZA,Pizza,"Dadco Food Products/div Of Dadco Diversified, Inc.",-0.1992564534034479,0.2978515504745507,-0.0723143434202097,-0.2398990649378138,-0.2836983141010381,-0.3322191421117484,-0.1471308691980297,1
SUPREME PARTY PIZZA,Pizza,Fame Marketing Corporation,-0.2346535310893372,-0.043019996234566,-0.2119351536059936,-0.1371083666255524,-0.2836973640126924,-0.3322187269501827,-0.1471310148370224,1
SUPREME PIZZA MELT,Pizza,Schwan's Company,-0.1603196679489697,0.2875221096651836,0.1200204461214312,-0.3201259514254325,-0.2836981917150765,-0.3322195381581416,-0.1471307089536773,1
TACO SUPREME PIZZA,Pizza,"Western Family Foods, Inc.",-0.1850976223290922,0.1677005962765243,-0.1634952806843951,-0.0869665625707907,-0.2836979546112417,-0.3322187743870115,-0.1471310174194064,1
TAVERN-STYLE PIZZA,Pizza,"Hansen's Dairy, Inc.",-0.245272654395104,0.4734520442337929,0.0986499139501377,-0.5332286186581696,-0.2836987360661521,-0.3322196830576628,-0.1471303055343365,1
THIN & CRISPY PIZZA,Pizza,"Newman's Own, Inc.",-0.1921770378662701,0.7006997420398707,-0.0010792361825648,-0.3126046808172182,-0.2836989232645115,-0.332219328354902,-0.1471307577040796,1
THIN & CRISPY PIZZA,Pizza,"Newman's Own, Inc.",-0.1567799601803808,0.5147698074712614,0.0274148067124929,-0.2674770571679327,-0.2836986090707288,-0.3322193152467091,-0.1471307876576619,1
THIN & CRISPY PIZZA,Pizza,"Newman's Own, Inc.",-0.2275741155521594,0.3288398729026524,-0.0438203005251518,-0.3176188612226944,-0.2836984484921089,-0.3322193029710047,-0.1471307900733048,1
THIN AND CRISPY PIZZA,Pizza,"Newman's Own, Inc.",-0.4222580428245506,0.0323849216738143,-0.3536930170089068,-0.3552252142637657,-0.2836983128340739,-0.3322187181215887,-0.1471309644225684,1
THIN CRUST PIZZA,Pizza,"Fair Market, Inc.",-0.1036843436515468,0.2875221096651836,0.1057734246739023,-0.2499274257487661,-0.2836980461847236,-0.3322193817946932,-0.1471307577040431,1
THIN CRUST PIZZA,Pizza,Raley's,-0.4328771661303174,0.5354286890899959,-0.3736388470354473,-0.4830868146034079,-0.2836992124811444,-0.3322186453263736,-0.1471307577042296,1
THIN CRUST PIZZA,Pizza,DR. OETKER,-0.1390814213374361,0.3494987545213866,0.1698850211877826,-0.3401826730473372,-0.2836982735757713,-0.3322195930096278,-0.147130648542623,1
THIN CRUST PIZZA,Pizza,OGGI,-0.3054476864611159,0.0055283755694596,-0.323774271969096,-0.2098139825049568,-0.283697820045692,-0.3322184058210247,-0.1471310094275754,1
THIN CRUST PIZZA,Pizza,"Big Y Foods, Inc.",-0.2381932388579262,0.5147698074712614,-0.2781838033370033,-0.1997856216940045,-0.2836987805460731,-0.332218408354717,-0.147130954991696,1
THIN CRUST PIZZA,Pizza,SIMPLY NATURE,-0.1355417135688472,0.5044403666618943,-0.0936848755915032,-0.1722076294638855,-0.2836985479483775,-0.3322188936118872,-0.1471308888734125,1
THIN CRUST PIZZA,Pizza,"Weis Markets, Inc.",-0.2134152844778037,0.3081809912839179,-0.1150554077627967,-0.247420335546028,-0.2836983716661688,-0.3322190416155892,-0.1471308740455981,1
THIN CRUST PIZZA,Pizza,"Weis Markets, Inc.",-0.1921770378662701,0.2978515504745507,-0.1221789184865611,-0.1947714412885283,-0.2836982960898556,-0.3322189545067687,-0.1471309164984928,1
THIN CRUST PIZZA,Pizza,Hannaford Bros. Co.,-0.2346535310893372,0.3185104320932852,-0.1079318970390321,-0.2424061551405519,-0.2836984457749821,-0.3322191270329779,-0.1471309020847479,1
THREE CHEESE PIZZA,Pizza,"Supervalu, Inc.",-0.1603196679489697,0.2379407937802211,-0.1150554077627967,-0.1220658254091238,-0.2836980729367515,-0.3322188874451438,-0.147130963933681,1
THREE MEAT PIZZA,Pizza,Brookshire Grocery Company,-0.1921770378662701,0.2585996753989555,-0.1492482592368661,-0.1897572608830522,-0.2836982080723363,-0.3322188530582861,-0.1471309221483335,1
THREE MEAT PIZZA,Pizza,Gateway Foods Inc,-0.1850976223290922,0.0272202012691307,-0.1150554077627967,-0.1371083666255524,-0.2836974831797951,-0.3322189593913516,-0.1471309709362611,1
THREE MEAT PIZZA,Pizza,"Associated Wholesale Grocers, Inc.",-0.2063358689406258,0.1862935897333852,-0.0794378541439742,-0.2398990649378138,-0.2836980668569183,-0.3322191392087327,-0.1471308763911905,1
TOMATO RICOTTA PIZZA,Pizza,Rainbow Games Inc,-0.0753666815028353,0.607734774755566,-0.3380212934166249,0.0734872104044466,-0.2836985825497053,-0.332217353054886,-0.1471310582409826,1
TRADITIONAL FLATBREAD PIZZA,Pizza,"Giant Eagle, Inc.",-0.3939403806758392,0.0354837539166244,-0.1834411107109357,-0.3928315673048369,-0.2836982254515328,-0.3322193597008091,-0.1471308727782012,1
TRADITIONAL FLATBREAD PIZZA,Pizza,"Giant Eagle, Inc.",-0.351463887452772,0.3598281953307538,-0.2055239939546056,-0.4028599281157893,-0.2836988048635814,-0.3322191428079035,-0.1471307999051394,1
TRIPLE CHEESE PIZZA,Pizza,Kidfresh,-0.2806697320809934,0.1831947574905751,-0.4413121989112099,-0.0944878331790049,-0.2836982710467767,-0.3322173522912579,-0.147131091193444,1
TRIPLE PEPPERONI PIZZA,Pizza,Palermo Villa Inc.,-0.1921770378662701,0.242072570103968,0.0487853388837864,-0.274998327776147,-0.2836981689189827,-0.3322194527363987,-0.1471308145028818,1
TWO CHEESE PIZZA,Pizza,Urban Farmer LLC,-0.1532402524117918,0.4114753993775896,-0.2033869407374761,-0.1346012764228142,-0.2836984278768283,-0.3322184956415601,-0.1471309452639859,1
"UDI'S, MARGHERITA PIZZA",Pizza,Pinnacle Foods Group LLC,-0.2558917777008708,-0.0182293382920848,-0.1898522703623237,-0.1621792686529332,-0.2836975500597808,-0.3322188913207655,-0.1471310101839539,1
"UDI'S, SUPREME PIZZA",Pizza,Pinnacle Foods Group LLC,-0.2381932388579262,0.1150204481487517,-0.1079318970390321,-0.217335253113171,-0.2836979596510252,-0.332219137211221,-0.1471309353975782,1
"ULTIMATE PIZZA, SUPREME",Pizza,"S.A. Piazza & Associates,  LLC",-0.2912888553867602,0.234841961537411,-0.3458571552127659,-0.2248565237213853,-0.2836984197389413,-0.332218205552562,-0.1471309795183948,1
UNCURED PEPPERONI PIZZA,Pizza,Better For You Foods LLC,-0.3231462253040605,0.6387230971836677,-0.2810332076265091,-0.3878173868993608,-0.2836991016866832,-0.3322187120925942,-0.1471307896319562,1
UNCURED PEPPERONI PIZZA,Pizza,"General Mills, Inc.",-0.1921770378662701,0.3081809912839179,-0.2297439304154048,-0.1571650882474571,-0.2836983181623615,-0.3322184983522847,-0.1471309571067236,1
UNCURED PEPPERONI PIZZA,Pizza,"Table5, Inc.",0.1228569535381447,0.3908165177588554,0.48331949303342,-0.1320941862200761,-0.2836977443743619,-0.3322196387351134,-0.1471307047270284,1
UNCURED PEPPERONI PIZZA,Pizza,Unknown,-0.6948155410058984,0.3288398729026524,-0.3686523895288122,-0.8977595341362871,-0.2836996029396644,-0.332219844293455,-0.1471252327435725,1
UNCURED PEPPERONI PIZZA,Pizza,Smart Flour Foods LLC,-0.2134152844778037,-0.0171963942111481,0.0274148067124929,-0.2323777943295996,-0.2836973994919859,-0.3322194527364399,-0.1471308929201524,1
UNCURED PEPPERONI PIZZA,Pizza,Cappello's Gluten Free,-0.09306522034578,0.2802915010986265,0.4761959823096554,-0.3928315673048369,-0.2836980010728969,-0.3322199740821955,-0.1471304815263882,1
UNCURED PEPPERONI* PIZZA,Pizza,"Wegmans Food Markets, Inc. ",-0.1992564534034479,0.08093329347784,0.1271439568451957,-0.3777890260884085,-0.2836977278377815,-0.3322196377408428,-0.147130650192072,1
